#{"t_start": 1781113351.5034025, "env_id": "None"}
r,l,t
138.042796,57,162.335242
127.254864,56,162.534548
170.006647,65,162.765263
142.292424,59,162.978499
215.077359,75,163.258204
153.519797,62,163.484972
82.411891,44,163.644784
128.226707,56,163.849061
161.496407,63,164.076895
138.488333,57,164.285088
176.119494,66,164.523541
116.579296,52,164.71136
125.709233,55,164.90889
103.040777,49,165.088034
101.412724,50,165.281804
149.13346,60,165.497021
175.193623,67,165.743191
135.449332,57,165.95341
154.362384,61,166.179
139.290493,58,166.386377
522.377152,147,166.905314
187.851197,69,167.160277
193.028054,70,167.411165
139.186737,57,167.615421
130.674234,55,167.815369
159.525506,62,168.035006
123.443394,53,168.574593
76.165264,43,168.79608
178.685288,69,169.059544
203.139205,72,169.327544
111.807378,51,169.514675
287.374359,94,169.867169
86.010782,46,170.03248
157.984065,62,170.260516
130.702303,56,170.46383
196.444699,71,170.724971
157.827519,62,170.947548
254.889264,85,171.255709
111.782669,51,171.438707
139.892167,57,171.645375
112.55881,52,171.835948
135.106338,56,172.043847
157.653042,61,172.264434
98.785452,49,172.439139
255.105318,86,172.754625
140.745558,59,172.969529
149.540033,60,173.182011
95.557001,48,173.356668
125.987853,55,173.558299
178.903724,66,173.797342
88.438607,46,173.965196
126.196668,55,174.16538
107.391296,51,174.35067
168.756826,65,174.58746
181.532113,67,174.83204
89.46683,46,175.001812
171.544926,65,175.240953
137.764384,58,175.447653
89.445763,47,175.616729
115.460099,53,175.805703
113.903004,51,175.990493
149.515787,61,176.631715
119.511301,53,176.848039
168.28411,64,177.086416
118.888057,53,177.282354
161.221159,62,177.51054
112.890091,54,177.710468
140.326139,58,177.918875
121.188406,54,178.117042
203.474234,74,178.388936
89.287273,46,178.55765
128.015989,56,178.758864
212.001447,75,179.025892
114.959565,52,179.218262
103.246099,49,179.397919
93.537678,46,179.562408
186.779556,68,179.810751
157.545363,61,180.034561
146.299698,59,180.250615
96.733752,48,180.422906
105.484049,49,180.599721
140.189181,58,180.807425
137.44619,58,181.018473
107.222815,50,181.19721
157.857151,62,181.421284
105.383539,50,181.600567
101.984087,50,181.780187
128.358084,55,181.980965
388.456887,115,182.404406
256.097104,85,182.712117
175.966086,66,182.950787
113.861031,52,183.137088
176.868511,66,183.38122
127.687215,55,183.58296
74.064329,43,183.736326
145.181266,59,183.951379
86.962914,46,184.541644
129.728861,55,184.761555
98.076116,47,184.933814
153.793341,61,185.201163
235.53884,79,185.531164
145.24587,59,185.753425
116.805259,52,185.945575
148.051293,59,186.160674
143.007246,59,186.380016
163.570848,63,186.613645
122.045473,53,186.802422
182.720469,68,187.059184
209.118642,73,187.325956
153.90588,61,187.544652
182.010339,69,187.797895
181.229867,68,188.042846
140.57116,58,188.251508
137.8663,57,188.457006
118.132503,53,188.673199
134.856906,56,188.881835
151.10508,61,189.107191
191.837666,69,189.36205
131.580437,55,189.579031
118.874068,54,189.77628
108.74063,51,189.963404
200.321411,72,190.23004
114.311545,53,190.425983
73.539686,42,190.581151
171.559752,65,190.814254
130.345113,55,191.015863
92.780403,47,191.188802
156.76883,62,191.416945
109.663011,51,191.601592
244.277022,82,191.902588
149.723292,60,192.537575
133.854747,56,192.785971
143.35676,59,193.011363
